AnnotationId,DataName,UserId,Label,AdjudicationRoundNumber,Timestamp,AdjudicationId,PositionStart,PositionEnd,RationaleInstructions,RationaleFreeForm
258ZqrcjtTZ3EGDug,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-13T00:20:04.391Z,5vYKdgK8XkDF27Jub,11760,11790,,
2A5gRoqt8NcQ27daJ,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-13T00:04:56.336Z,5vYKdgK8XkDF27Jub,5970,6000,,
2E35mnM7giNPANhsK,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-13T00:31:03.280Z,5vYKdgK8XkDF27Jub,17310,17340,,
2K57zyz7TRroGgCJi,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_rem,0,2019-02-13T00:20:45.302Z,5vYKdgK8XkDF27Jub,12060,12090,,
2PAEwWB95dG8apydZ,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_wake,0,2019-02-13T00:41:49.178Z,5vYKdgK8XkDF27Jub,24510,24540,,
2SMCcLZKGwSrH78M6,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-13T00:04:52.857Z,5vYKdgK8XkDF27Jub,5910,5940,,
2ZbNrC373kWMfyYZ7,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-13T00:26:59.285Z,5vYKdgK8XkDF27Jub,14970,15000,,
2a6Y3vdFyt6Tqix67,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-13T00:27:17.328Z,5vYKdgK8XkDF27Jub,15330,15360,,
2bACv4j8ZMZTbWQTv,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-13T00:28:06.491Z,5vYKdgK8XkDF27Jub,16080,16110,,
2n3jTAY6JHFuuQCCv,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-13T00:40:25.841Z,5vYKdgK8XkDF27Jub,23400,23430,,
2oZ67sQQrDvjSn6Xx,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-13T00:01:10.044Z,5vYKdgK8XkDF27Jub,4110,4140,,
2qvb8rZbCmQKgzkwW,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_wake,0,2019-02-22T21:41:11.040Z,5vYKdgK8XkDF27Jub,24840,24870,,
2sJPDGcJhuPDAp4YC,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_rem,0,2019-02-13T00:06:47.757Z,5vYKdgK8XkDF27Jub,6690,6720,,
33ikFBFJRFRvD5BzJ,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-12T23:55:58.400Z,5vYKdgK8XkDF27Jub,2340,2370,,
3BfvBhGv8bKii23sn,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-13T00:09:12.991Z,5vYKdgK8XkDF27Jub,8280,8310,,
3EYahsNZpfJFL326a,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-12T23:54:51.837Z,5vYKdgK8XkDF27Jub,1410,1440,,
3GskMefrCgEmQoQm2,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n3,0,2019-02-13T00:14:39.993Z,5vYKdgK8XkDF27Jub,10050,10080,,
3LsNcyAXg3HMjsD2M,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-13T00:03:29.910Z,5vYKdgK8XkDF27Jub,5130,5160,,
3aRMPyTc4NyPkuoH5,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_rem,0,2019-02-13T00:20:40.527Z,5vYKdgK8XkDF27Jub,12030,12060,,
3bqxuyvsAjMdWoe5g,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n3,0,2019-02-13T00:12:41.981Z,5vYKdgK8XkDF27Jub,9180,9210,,
3ffQRaqRBdwgxMYbo,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-12T23:58:00.448Z,5vYKdgK8XkDF27Jub,3330,3360,,
3kXA2aQXNMw9hh2Hd,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-13T00:31:50.758Z,5vYKdgK8XkDF27Jub,17820,17850,,
3ncAYWCy2DdAmTk6C,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-12T23:55:41.375Z,5vYKdgK8XkDF27Jub,2040,2070,,
3wiRodAeofe93JXmH,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_rem,0,2019-02-13T00:35:33.723Z,5vYKdgK8XkDF27Jub,19620,19650,,
49TEjdi9zDoidqDhE,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-12T23:57:37.618Z,5vYKdgK8XkDF27Jub,3270,3300,,
4FP9dap4irzP4v64j,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-13T00:01:35.982Z,5vYKdgK8XkDF27Jub,4260,4290,,
4NSWLyTBkkxMePKFK,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_rem,0,2019-02-13T00:33:27.853Z,5vYKdgK8XkDF27Jub,18570,18600,,
4Ssjv5qWwNchBYf2t,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-13T00:29:22.995Z,5vYKdgK8XkDF27Jub,16650,16680,,
4TDeA8iXEThqtAXmm,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_n2,0,2019-02-13T00:02:04.085Z,5vYKdgK8XkDF27Jub,4500,4530,,
4k5B9isJSSArnie2m,1807115-1_P.edf,98jirm39ajotzMZ7C,sleep_stage_rem,0,2019-02-13T00:07:05.077Z,5vYKdgK8XkDF27Jub,6930,6960,,
