InstructionId,ShortCode,Text,Conditions,Actions
7kPaHPQEMNc342sst,W-2,Score epochs as stage W when more than half of the epoch shows alpha rhythm in the occipital channel(s).,"[""QH2eoLsoESmyunn6t""]","[""6QLL8CbdX3CfNuubR""]"
eNrWxNkomeikbrAmQ,W-3a,Score epochs without alpha rhythm as stage W if eye blinks are present.,"[""yzpKNjNG5MDkbDFyj"",""nkx2KSiNAqPgi7Y8y""]","[""6QLL8CbdX3CfNuubR""]"
aPNTCHBt2dYASvkSG,W-3b,Score epochs without alpha rhythm as stage W if reading eye movements are present.,"[""yzpKNjNG5MDkbDFyj"",""8CXs732ywrWaPmAFv""]","[""6QLL8CbdX3CfNuubR""]"
bHnyJCp96bcEyRXqy,W-3c,"Score epochs without alpha rhythm as stage W if conjugate, irregular rapid eye movements associated with normal or high chin muscle tone, are present.","[""yzpKNjNG5MDkbDFyj"",""JsR93LpjNw6pDfCu4""]","[""6QLL8CbdX3CfNuubR""]"
MwfpuDJBTZzwBQEqr,W-X,None of the other rules for stage W apply. Keep scoring W if the previous stage W and there is not enough evidence to switch to a different stage in this epoch.,[],"[""6QLL8CbdX3CfNuubR""]"
Mf3XzKhneJmTLnhjE,N1-2,"In patients who generate alpha rhythm, score stage N1 if the alpha rhythm is extenuated and replaced by low-amplitude, mixed-frequency activity for more than half of the epoch.","[""aM6FX45yzrvQs7kBa"",""oMELdNXmeGvY9SksF""]","[""d2BYdnevBhCNdLWg7""]"
y8XBLLAGboygrgrFr,N1-3a,"In patients who do not generate alpha rhythm, score stage N1 beginning with the earliest EEG activity of 4-7 Hz while background frequencies slow by ≥1 Hz compared to stage W.","[""TNJmDvNYvkC4Kbi73"",""qrAParb8LFvRRq4za""]","[""d2BYdnevBhCNdLWg7""]"
WXf8vcamANgefvPaC,N1-3b,"In patients who do not generate alpha rhythm, score stage N1 beginning with the earliest vertex sharp waves.","[""TNJmDvNYvkC4Kbi73"",""jcGPBERZgsL2CZwHR""]","[""d2BYdnevBhCNdLWg7""]"
8Pk8HgkAuTyGW9Wcm,N1-3c,"In patients who do not generate alpha rhythm, score stage N1 beginning with the earliest slow eye movements.","[""TNJmDvNYvkC4Kbi73"",""AnxYN8WARL4QriJtt""]","[""d2BYdnevBhCNdLWg7""]"
xFo8GSsv7FpdLuogM,N1-X,None of the other rules for stage N1 apply. Keep scoring N1 if the previous stage N1 and there is not enough evidence to switch to a different stage in this epoch.,[],"[""d2BYdnevBhCNdLWg7""]"
jsfs55BNzqzgCBXve,N2-2a,Start scoring stage N2 (if criteria for N3 are not met) if one or more non-arousal associated K complexes occur during the first half of that epoch or the last half of the previous epoch.,"[""XDWqs9hbyHFPdAtXv"",""Li8y6Y5AyKDtFyDH9""]","[""DAos9dkZnRCHjK3FX""]"
yeEuYP8YK3QSqKE4J,N2-2b,Start scoring stage N2 (if criteria for N3 are not met) if one or more trains of sleep spindles occur during the first half of that epoch or the last half of the previous epoch.,"[""XDWqs9hbyHFPdAtXv"",""WZdfizFjNkBrs93Ab""]","[""DAos9dkZnRCHjK3FX""]"
gdjeLgjd43TbTFCyh,N2-3a,"Continue to score epochs with low-amplitude, mixed-frequency EEG activity without K complexes or sleep spindles as stage N2 if they are preceded by epochs with non-arousal associated K complexes.","[""4cYQMxFTezY5STvzT"",""Stc7y2rhijuP2ZbbJ"",""5Bm4FYTDc6TQodERk"",""Fakob2n785TMAm94J""]","[""DAos9dkZnRCHjK3FX""]"
KwMGGWAbTTHKaobcA,N2-3b,"Continue scoring epochs with low-amplitude, mixed-frequency EEG activity without K complexes or sleep spindles as stage N2 if they are preceded by epochs with sleep spindles.","[""4cYQMxFTezY5STvzT"",""Stc7y2rhijuP2ZbbJ"",""5Bm4FYTDc6TQodERk"",""jyuXxiti7Fpxg3WHT""]","[""DAos9dkZnRCHjK3FX""]"
yQdkMvB6rpbzyCowk,N2-4a,Stop scoring stage N2 sleep when a transition to stage W occurs.,[],[]
Krm4ePmizsC559Mek,N2-4b,Stop scoring stage N2 sleep when an arousal occurs (change to stage N1 until a non-arousal associated K complex or a sleep spindle occurs).,"[""ookXwWE2TJwzdgM65""]","[""d2BYdnevBhCNdLWg7""]"
pAWhYts9hgztrFouB,N2-4c,"Stop scoring stage N2 sleep when a major body movement occurs, followed by slow eye movements and low-amplitude, mixed-frequency EEG without non-arousal associated K complexes or sleep spindles (the epoch containing the body movement is scored as stage W if alpha rhythm is present for part of the epoch [even <15 seconds duration], based on rule M2).","[""ef2MSgwLwXraWaKc3"",""AwvZNQByXWEqJhjAg"",""5Bm4FYTDc6TQodERk"",""42AX8YPB8BkCkXBmu""]","[""6QLL8CbdX3CfNuubR""]"
4CxJmE9gScHG6Jkk7,N2-4c,"Stop scoring stage N2 sleep when a major body movement occurs, followed by slow eye movements and low-amplitude, mixed-frequency EEG without non-arousal associated K complexes or sleep spindles (the epoch containing the body movement is scored as stage W if no alpha rhythm is discernible, but an epoch scorable as stage W either precedes or follows the epoch, based on rule M3).","[""ef2MSgwLwXraWaKc3"",""AwvZNQByXWEqJhjAg"",""5Bm4FYTDc6TQodERk"",""yzpKNjNG5MDkbDFyj"",""gRSMevpDfsqZLayts""]","[""6QLL8CbdX3CfNuubR""]"
vYRD2Zuc522T7nYMP,N2-4c,"Stop scoring stage N2 sleep when a major body movement occurs, followed by slow eye movements and low-amplitude, mixed-frequency EEG without non-arousal associated K complexes or sleep spindles (the epoch containing the body movement is scored as stage N1 if no alpha rhythm is discernible, the preceding epoch is not scorable as stage W, the following epoch is scored as stage N1, based on rule M4).","[""ef2MSgwLwXraWaKc3"",""AwvZNQByXWEqJhjAg"",""5Bm4FYTDc6TQodERk"",""yzpKNjNG5MDkbDFyj"",""2QxLi7bEQZsn6WL4E"",""c4ZZdxGwEf7rRAWE8""]","[""d2BYdnevBhCNdLWg7""]"
L4EzJDNsFJnQ48WPX,N2-4c,"Stop scoring stage N2 sleep when a major body movement occurs, followed by slow eye movements and low-amplitude, mixed-frequency EEG without non-arousal associated K complexes or sleep spindles (the epoch containing the body movement is scored as stage N3 if no alpha rhythm is discernible, the preceding epoch is not scorable as stage W, the following epoch is scored as stage N3, based on rule M4).","[""ef2MSgwLwXraWaKc3"",""AwvZNQByXWEqJhjAg"",""5Bm4FYTDc6TQodERk"",""yzpKNjNG5MDkbDFyj"",""2QxLi7bEQZsn6WL4E"",""QBuFufm6YHZrEm6sS""]","[""nYSStMic8nzurC22Y""]"
uk4c85N9Kj9xx5r6u,N2-4c,"Stop scoring stage N2 sleep when a major body movement occurs, followed by slow eye movements and low-amplitude, mixed-frequency EEG without non-arousal associated K complexes or sleep spindles (the epoch containing the body movement is scored as stage R if no alpha rhythm is discernible, the preceding epoch is not scorable as stage W, the following epoch is scored as stage R, based on rule M4).","[""ef2MSgwLwXraWaKc3"",""AwvZNQByXWEqJhjAg"",""5Bm4FYTDc6TQodERk"",""yzpKNjNG5MDkbDFyj"",""2QxLi7bEQZsn6WL4E"",""8eQ3XpSmWphEGEK3j""]","[""wMoa4b2y3n9C9dDPY""]"
nHt5dJrJ2ZiZeRhQq,N2-4c,"Stop scoring stage N2 sleep when a major body movement occurs, followed by slow eye movements and low-amplitude, mixed-frequency EEG without non-arousal associated K complexes or sleep spindles (Score the epoch following the major body movement as stage N1).","[""wgPbRBrdH8wjb7K5s"",""hq3bYmPdch2Shsn33"",""vvixFSPX2X2HgRh6n""]","[""d2BYdnevBhCNdLWg7""]"
iSMhQXyN2vK5La6cj,N2-4d,Stop scoring stage N2 sleep when a transition to stage N3 occurs.,[],[]
Sc3x5rzxPDTFYEL2G,N2-4e,Stop scoring stage N2 sleep when a transition to stage R occurs.,[],[]
ThffFYcMWtb78TFTC,N2-X,None of the other rules for stage N2 apply. Keep scoring N2 if the previous stage N2 and there is not enough evidence to switch to a different stage in this epoch.,[],"[""DAos9dkZnRCHjK3FX""]"
oiJMc9K56g9t9FBnd,N3-2,Score stage N3 when ≥20% of an epoch shows slow wave activity.,"[""ozZg95twXAeL7zBP5""]","[""nYSStMic8nzurC22Y""]"
utMqxaZh3jCBcMRJX,N3-X,None of the other rules for stage N3 apply. Keep scoring N3 if the previous stage N3 and there is not enough evidence to switch to a different stage in this epoch.,[],"[""nYSStMic8nzurC22Y""]"
8Qtzqssc7F9FuptAr,R-2,"Score stage R sleep in epochs with ALL of the following: a. Rapid eye movements; b. Low chin EMG tone; c. Low-amplitude, mixed-frequency EEG","[""dzbFzeHNbnQxpSsiF"",""iB6TndeMByy5X4BGD"",""4cYQMxFTezY5STvzT""]","[""wMoa4b2y3n9C9dDPY""]"
