PropositionId,Description,Predicate,Placeholders,IsNegated
QH2eoLsoESmyunn6t,more than half of the epoch has alpha rhythm in the occipital channel(s),EVIDENCE_IS_PRESENT,"{""epoch"":""current"",""comparator"":""gt"",""threshold"":0.5,""value"":""alpha_rhythm""}",false
yzpKNjNG5MDkbDFyj,alpha rhythm is absent,EVIDENCE_IS_PRESENT,"{""epoch"":""current"",""comparator"":""gt"",""threshold"":0,""value"":""alpha_rhythm""}",true
nkx2KSiNAqPgi7Y8y,eye blinks are present,EVIDENCE_IS_PRESENT,"{""epoch"":""current"",""comparator"":""gt"",""threshold"":0,""value"":""eye_blinks""}",false
8CXs732ywrWaPmAFv,reading eye movements are present,EVIDENCE_IS_PRESENT,"{""epoch"":""current"",""comparator"":""gt"",""threshold"":0,""value"":""reading_eye_movements""}",false
JsR93LpjNw6pDfCu4,"conjugate, irregular rapid eye movements, associated with normal or high chin muscle tone, are present",EVIDENCE_IS_PRESENT,"{""epoch"":""current"",""comparator"":""gt"",""threshold"":0,""value"":""irregular_conjugate_rem_associated_with_normal_or_high_chin_emg_tone""}",false
aM6FX45yzrvQs7kBa,the patient generates alpha rhythm,EVIDENCE_IS_PRESENT,"{""epoch"":""any"",""comparator"":""gt"",""threshold"":0,""value"":""alpha_rhythm""}",false
oMELdNXmeGvY9SksF,"the alpha rhythm is extenuated and replaced by low-amplitude, mixed-frequency activity for more than half of the epoch",EVIDENCE_IS_PRESENT,"{""epoch"":""current"",""comparator"":""gt"",""threshold"":0.5,""value"":""attenuated_alpha_rhythm_replaced_by_lamf""}",false
TNJmDvNYvkC4Kbi73,the patient does not generate alpha rhythm,EVIDENCE_IS_PRESENT,"{""epoch"":""any"",""comparator"":""gt"",""threshold"":0,""value"":""alpha_rhythm""}",true
qrAParb8LFvRRq4za,the epoch shows onset of EEG activity of 4-7 Hz while background frequencies slow by ≥1 Hz compared to stage W,EVIDENCE_IS_PRESENT,"{""epoch"":""current"",""comparator"":""gt"",""threshold"":0,""value"":""eeg_4_to_7_hz_with_slowing_of_background_frequencies_by_at_least_1_hz_from_those_of_wake""}",false
jcGPBERZgsL2CZwHR,the epoch shows onset of vertex sharp waves,EVIDENCE_IS_PRESENT,"{""epoch"":""current"",""comparator"":""gt"",""threshold"":0,""value"":""vertex_wave""}",false
AnxYN8WARL4QriJtt,the epoch shows onset of slow eye movements,EVIDENCE_IS_PRESENT,"{""epoch"":""current"",""comparator"":""gt"",""threshold"":0,""value"":""sem""}",false
Li8y6Y5AyKDtFyDH9,one or more non-arousal associated K complexes are present during the first half of the epoch or the last half of the previous epoch,EVIDENCE_IS_PRESENT,"{""epoch"":""previous_second_half_or_current_first_half"",""comparator"":""gt"",""threshold"":0,""value"":""non_arousal_k_complex""}",false
WZdfizFjNkBrs93Ab,one or more trains of sleep spindles occur during the first half of the epoch or the last half of the previous epoch,EVIDENCE_IS_PRESENT,"{""epoch"":""previous_second_half_or_current_first_half"",""comparator"":""gt"",""threshold"":0,""value"":""train_of_sleep_spindles""}",false
4cYQMxFTezY5STvzT,"the epoch has low-amplitude, mixed-frequency EEG activity",EVIDENCE_IS_PRESENT,"{""epoch"":""current"",""comparator"":""gt"",""threshold"":0,""value"":""lamf""}",false
Stc7y2rhijuP2ZbbJ,K complexes are absent,EVIDENCE_IS_PRESENT,"{""epoch"":""current"",""comparator"":""gt"",""threshold"":0,""value"":""k_complex""}",true
5Bm4FYTDc6TQodERk,sleep spindles are absent,EVIDENCE_IS_PRESENT,"{""epoch"":""current"",""comparator"":""gt"",""threshold"":0,""value"":""sleep_spindle""}",true
Fakob2n785TMAm94J,the previous epoch has one or more non-arousal associated K complexes,EVIDENCE_IS_PRESENT,"{""epoch"":""previous"",""comparator"":""gt"",""threshold"":0,""value"":""non_arousal_k_complex""}",false
jyuXxiti7Fpxg3WHT,one or more sleep spindles are present in the previous epoch,EVIDENCE_IS_PRESENT,"{""epoch"":""previous"",""comparator"":""gt"",""threshold"":0,""value"":""sleep_spindle""}",false
ookXwWE2TJwzdgM65,one or more arousals are present,EVIDENCE_IS_PRESENT,"{""epoch"":""current"",""comparator"":""gt"",""threshold"":0,""value"":""arousal""}",false
ef2MSgwLwXraWaKc3,"the epoch has a major body movement followed by slow eye movements and low-amplitude, mixed-frequency EEG",EVIDENCE_IS_PRESENT,"{""epoch"":""current"",""comparator"":""gt"",""threshold"":0,""value"":""major_body_movement_followed_by_lamf_and_sem""}",false
AwvZNQByXWEqJhjAg,non-arousal associated K complexes are absent,EVIDENCE_IS_PRESENT,"{""epoch"":""current"",""comparator"":""gt"",""threshold"":0,""value"":""non_arousal_k_complex""}",true
42AX8YPB8BkCkXBmu,alpha rhythm is present,EVIDENCE_IS_PRESENT,"{""epoch"":""current"",""comparator"":""gt"",""threshold"":0,""value"":""alpha_rhythm""}",false
wgPbRBrdH8wjb7K5s,"the previous epoch has a major body movement followed by slow eye movements and low-amplitude, mixed-frequency EEG",EVIDENCE_IS_PRESENT,"{""epoch"":""previous"",""comparator"":""gt"",""threshold"":0,""value"":""major_body_movement_followed_by_lamf_and_sem""}",false
